"word1","word2","n"
"warns","gop",19
"2","1",18
"30","million",18
"acknowledges","china",18
"acosta","trump",18
"announce","plan",18
"anti","israel",18
"antisemitic","trope",18
"can’t","stand",18
"can’t","wait",18
"cards","trump",18
"chief","executive",18
"civil","war",18
"clinton","campaign",18
"cnnpolitics","trump",18
"defeating","trump",18
"denmark","greenland",18
"doesn’t","care",18
"election","day",18
"gavinnewsom","realdonaldtrump",18
"greenland","cnnpolitics",18
"guess","trump",18
"guy","trump",18
"idiot","trump",18
"it’s","time",18
"made__usa","realdonaldtrump",18
"mike","pence",18
"minister","dismisses",18
"nevada","banned",18
"nra's","wayne",18
"payroll","taxes",18
"playing","cards",18
"porn","star",18
"rashidatlaib","nlgnews",18
"real","news",18
"realdonaldtrump","gop",18
"realdonaldtrump","it’s",18
"repadamschiff","trump",18
"stable","genius",18
"trump","cares",18
"trump","supports",18
"trump","trump2020",18
"trump's","fault",18
"u.s","president",18
"users","mock",18
"visit","denmark",18
"allegedly","plotting",17
"amp","8216",17
"anti","immigrant",17
"anti","jewish",17
"artist","jon",17
"bill","clinton",17
"brazen","attack",17
"bye","bye",17
"carolina","dorothy",17
"chick","fil",17
"conspiracy","theory",17
"crowd","size",17
"davidmweissman","ninaturner",17
"democrat","voters",17
"democratic","nominee",17
"ecstasy","pills",17
"election","trump",17
"entire","trump",17
"foreign","aid",17
"free","world",17
"gtconway3d","trump",17
"ilhanmn","gop",17
"jack_burkman","trump",17
"jewish","vote",17
"joebiden","trump",17
"kill","miami",17
"life","trump",17
"loves","trump",17
"marieag777","washingtonpost",17
"megan","rapinoe",17
"miafarrow","realdonaldtrump",17
"miss","america",17
"nancylevine","rashidatlaib",17
"obama","administration",17
"parody","account",17
"space","force",17
"stop","talking",17
"strong","background",17
"stupid","trump",17
"support","israel",17
"thehill","trump",17
"trump","1",17
"trump","ad",17
"trump","assures",17
"trump","starts",17
"trump","talking",17
"trump's","tax",17
"trump's","tweets",17
"trump’s","tax",17
"trump’s","tweets",17
"trump2020","trump",17
"washington","dc",17
"wow","trump",17
"2016","votes",16
"65","million",16
"amyklobuchar","maddow",16
"asharangappa_","trump",16
"candidate","trump",16
"crazy","trump",16
"crisis","polling",16
"cypherial","frogmarge",16
"danish","leader",16
"dcexaminer","ilhanmn",16
"delays","denmark",16
"destroy","trump",16
"don’t","forget",16
"elected","president",16
"follow","trump",16
"fullmeasurenews","realdonaldtrump",16
"hard","time",16
"hot","air",16
"innocent","people",16
"joerogan","piersmorgan",16
"john_a_stefani","cypherial",16
"justintrudeau","refuse",16
"lapierre","trump",16
"mainstream","media",16
"mcfaul","trump",16
"national","debt",16
"nra","trump",16
"nut","job",16
"people","vote",16
"political","party",16
"polling","lower",16
"president","barack",16
"putin","trump",16
"racist","white",16
"rate","cut",16
"real","americans",16
"rebuffs","absurd",16
"reelection","crisis",16
"robreiner","hillaryclinton",16
"russian","asset",16
"russian","interference",16
"send","trump",16
"status","quo",16
"sues","trump",16
"taxpayer","money",16
"time","ago",16
"trump","buys",16
